Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Jump Game,62.0,0.0041065106075722614,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Contains Duplicate,62.0,0.006445874388442661,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,Sort Integers by The Power Value,62.0,0.007177790513902637,https://leetcode.com/problems/sort-integers-by-the-power-value,"Dynamic Programming, Memoization, Sorting"
MEDIUM,"Pow(x, n)",61.6,0.00388420962447217,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Sort Colors,61.2,0.0069875274633268945,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Remove Element,60.7,0.006197509774800575,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
MEDIUM,Single Element in a Sorted Array,60.7,0.005930893530351025,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
MEDIUM,All Paths From Source to Target,60.7,0.008366749431735513,https://leetcode.com/problems/all-paths-from-source-to-target,"Backtracking, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Evaluate Division,60.2,0.006432716470037054,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path"
EASY,Check if Array Is Sorted and Rotated,60.2,0.005744904226761909,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
EASY,Plus One,59.8,0.005011655734501802,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Remove All Adjacent Duplicates in String II,59.8,0.006146396534446704,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Spiral Matrix,59.3,0.005707360434108166,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Palindrome Partitioning,59.3,0.0074213770957606276,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking"
MEDIUM,Word Break,59.3,0.004958115230364188,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,House Robber,59.3,0.005332526027011509,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Product of Array Except Self,58.8,0.006900149580440774,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Merge k Sorted Lists,58.2,0.005981753163073351,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
EASY,Find the Index of the First Occurrence in a String,58.2,0.004682795410945278,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Binary Tree Level Order Traversal,58.2,0.007290309044130945,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Two City Scheduling,58.2,0.006863548168297762,https://leetcode.com/problems/two-city-scheduling,"Array, Greedy, Sorting"
EASY,Remove Letter To Equalize Frequency,58.2,0.001943963974710724,https://leetcode.com/problems/remove-letter-to-equalize-frequency,"Hash Table, String, Counting"
EASY,Search Insert Position,57.7,0.005151849027351063,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
EASY,Design an Ordered Stream,57.7,0.008271462659663276,https://leetcode.com/problems/design-an-ordered-stream,"Array, Hash Table, Design, Data Stream"
EASY,Combine Two Tables,57.1,0.00796575246327259,https://leetcode.com/problems/combine-two-tables,Database
EASY,Palindrome Linked List,57.1,0.005821409259832282,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Binary Tree Vertical Order Traversal,57.1,0.005785787352174959,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
EASY,Max Consecutive Ones,57.1,0.006544885369570133,https://leetcode.com/problems/max-consecutive-ones,Array
MEDIUM,Minimum Remove to Make Valid Parentheses,57.1,0.007150182633685173,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Set Matrix Zeroes,56.6,0.006317498371335505,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Reverse Words in a String,56.6,0.005681667473458751,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Next Greater Element I,56.6,0.007635154967159278,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Zigzag Conversion,56.0,0.005438131348075167,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,3Sum Closest,56.0,0.0048756606535561905,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Best Time to Buy and Sell Stock II,55.4,0.007123997374760342,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Copy List with Random Pointer,55.4,0.006314228042907208,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
EASY,Linked List Cycle,55.4,0.00545499967850446,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Kth Largest Element in an Array,55.4,0.006903910470343683,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Rotting Oranges,55.4,0.005886907506764135,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Recyclable and Low Fat Products,55.4,0.008862008142426823,https://leetcode.com/problems/recyclable-and-low-fat-products,Database
MEDIUM,Unique Paths,54.8,0.00669596463586645,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Search a 2D Matrix,54.8,0.005416867625480386,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
HARD,Largest Rectangle in Histogram,54.8,0.005018768582601601,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
EASY,Symmetric Tree,54.8,0.006142815625124143,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Balanced Binary Tree,54.8,0.005858670107549116,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Isomorphic Strings,54.8,0.004856370405751307,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Daily Temperatures,54.8,0.006882740729236955,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Vertical Order Traversal of a Binary Tree,54.8,0.005404390826733051,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
HARD,N-Queens,54.1,0.0075846704769241,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Rotate List,54.1,0.004277449192271799,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Gas Station,54.1,0.004819449133443973,https://leetcode.com/problems/gas-station,"Array, Greedy"
HARD,Candy,54.1,0.004866098630429685,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Reorder List,54.1,0.00655349645776107,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,String Compression,54.1,0.006021174643995309,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Number of Provinces,54.1,0.007058544112725813,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Valid Triangle Number,54.1,0.005696728718597506,https://leetcode.com/problems/valid-triangle-number,"Array, Two Pointers, Binary Search, Greedy, Sorting"
EASY,Binary Search,54.1,0.006102384266454733,https://leetcode.com/problems/binary-search,"Array, Binary Search"
MEDIUM,Letter Combinations of a Phone Number,53.5,0.006627771049399197,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Valid Sudoku,53.5,0.006467036897226425,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
EASY,Contains Duplicate II,53.5,0.005145312413466029,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
EASY,Missing Number,53.5,0.0072197475710761025,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Managers with at Least 5 Direct Reports,53.5,0.004912074634407106,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Database
MEDIUM,Combination Sum,52.8,0.007670898219199843,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Add Binary,52.8,0.005817430909145855,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,52.8,0.006903441381729383,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Count Unhappy Friends,52.8,0.006257447864945382,https://leetcode.com/problems/count-unhappy-friends,"Array, Simulation"
EASY,Merge Strings Alternately,52.8,0.008210743230332586,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Swap Nodes in Pairs,52.1,0.006972750424659252,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
EASY,Length of Last Word,52.1,0.0059059216491714915,https://leetcode.com/problems/length-of-last-word,String
EASY,Same Tree,52.1,0.006736094428669336,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Populating Next Right Pointers in Each Node,52.1,0.006734868351727442,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Maximum Product Subarray,52.1,0.003657021534345799,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Find the Duplicate Number,52.1,0.006452348347640854,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Longest Increasing Subsequence,52.1,0.005957434290351335,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Top K Frequent Elements,52.1,0.0066704490624006655,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Intersection of Two Arrays,52.1,0.007793560236814058,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
MEDIUM,Add Two Numbers II,52.1,0.006274604340283321,https://leetcode.com/problems/add-two-numbers-ii,"Linked List, Math, Stack"
MEDIUM,Design A Leaderboard,52.1,0.0068091693028864055,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
MEDIUM,Frequency of the Most Frequent Element,52.1,0.004494904983540643,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum"
HARD,Word Ladder,51.3,0.004584382927171348,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Reverse String,51.3,0.008093580949907865,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Lexicographical Numbers,51.3,0.0076261313702662755,https://leetcode.com/problems/lexicographical-numbers,"Depth-First Search, Trie"
EASY,Number of Recent Calls,51.3,0.00786197689271204,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
HARD,Regular Expression Matching,50.5,0.0031126118336226543,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Integer to Roman,50.5,0.007117952502975711,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Remove Nth Node From End of List,50.5,0.0051885619685454135,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Binary Tree Zigzag Level Order Traversal,50.5,0.006392137673321978,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Kth Smallest Element in a BST,50.5,0.0076970891378716965,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Find the Winner of the Circular Game,50.5,0.00822800352772101,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Jump Game II,49.7,0.004303497912644383,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Permutations,49.7,0.008205080625418098,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Unique Paths II,49.7,0.004463798566564304,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Edit Distance,49.7,0.006080732346025155,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Minimum Size Subarray Sum,49.7,0.005199874079968808,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Sliding Window Maximum,49.7,0.004889035528486627,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,H-Index,49.7,0.004155499448219022,https://leetcode.com/problems/h-index,"Array, Sorting, Counting Sort"
MEDIUM,Next Greater Element II,49.7,0.006860811684483172,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
EASY,Fibonacci Number,49.7,0.007426411975752513,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,Remove Duplicates from Sorted List,48.9,0.005693845145939116,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
MEDIUM,Populating Next Right Pointers in Each Node II,48.9,0.00577285617716685,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Two Sum II - Input Array Is Sorted,48.9,0.006529625963624155,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
EASY,Happy Number,48.9,0.005983040175994587,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,Peak Index in a Mountain Array,48.9,0.0066771974591454475,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
MEDIUM,Capacity To Ship Packages Within D Days,48.9,0.00741428971567825,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Design Browser History,48.9,0.007835944778710446,https://leetcode.com/problems/design-browser-history,"Array, Linked List, Stack, Design, Doubly-Linked List, Data Stream"
HARD,Wildcard Matching,48.0,0.0032205460622832453,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Implement Trie (Prefix Tree),48.0,0.006966361021541936,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Lowest Common Ancestor of a Binary Tree,48.0,0.006956351304276016,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Reverse Vowels of a String,48.0,0.006157812576223231,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
EASY,Rotate String,48.0,0.00667792434587897,https://leetcode.com/problems/rotate-string,"String, String Matching"
HARD,Reverse Nodes in k-Group,47.1,0.0066421826646743875,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Subsets II,47.1,0.006149591382716847,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Evaluate Reverse Polish Notation,47.1,0.005803695503742788,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
EASY,Rising Temperature,47.1,0.005149155775727857,https://leetcode.com/problems/rising-temperature,Database
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,47.1,0.007081808532547565,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Odd Even Linked List,47.1,0.0062598427431024796,https://leetcode.com/problems/odd-even-linked-list,Linked List
MEDIUM,Partition Equal Subset Sum,47.1,0.0049636904088797285,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
EASY,Maximum Nesting Depth of the Parentheses,47.1,0.008494961088197616,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,"String, Stack"
EASY,Average Time of Process per Machine,47.1,0.006679771721567106,https://leetcode.com/problems/average-time-of-process-per-machine,Database
EASY,Intersection of Two Linked Lists,46.1,0.0064031148899601105,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Delete Node in a Linked List,46.1,0.008404813406738217,https://leetcode.com/problems/delete-node-in-a-linked-list,Linked List
HARD,Split Array Largest Sum,46.1,0.006072013003515996,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Top K Frequent Words,46.1,0.006029201504483595,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Online Stock Span,46.1,0.006926327564926234,https://leetcode.com/problems/online-stock-span,"Stack, Design, Monotonic Stack, Data Stream"
MEDIUM,Sort an Array,46.1,0.00559309225729621,https://leetcode.com/problems/sort-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,46.1,0.008254230122554497,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
HARD,Sudoku Solver,45.1,0.0065585398169665755,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
EASY,Maximum Depth of Binary Tree,45.1,0.007830389443028864,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Triangle,45.1,0.005992094907991834,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
MEDIUM,Factorial Trailing Zeroes,45.1,0.004690350979437637,https://leetcode.com/problems/factorial-trailing-zeroes,Math
MEDIUM,Course Schedule,45.1,0.00516492523848648,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Majority Element II,45.1,0.005637023171345051,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
EASY,Power of Two,45.1,0.005021371814236151,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
HARD,Serialize and Deserialize Binary Tree,45.1,0.006096475304251816,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
EASY,Diameter of Binary Tree,45.1,0.006572722702686653,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
EASY,Big Countries,45.1,0.006856025249456268,https://leetcode.com/problems/big-countries,Database
EASY,Article Views I,45.1,0.0076668343808285015,https://leetcode.com/problems/article-views-i,Database
MEDIUM,Second Highest Salary,45.1,0.004735456042681926,https://leetcode.com/problems/second-highest-salary,Database
EASY,Find Missing and Repeated Values,45.1,0.008312215377316615,https://leetcode.com/problems/find-missing-and-repeated-values,"Array, Hash Table, Math, Matrix"
MEDIUM,Divide Two Integers,44.0,0.0019937156261010157,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Combination Sum II,44.0,0.005963263254861891,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
